 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:40575","Ichthyology","40575","","Voucher","Polyipnus laternatus Garman, 1899:238","Old Bahama Channel, off Punta Alegre","RV Atlantis, Harvard-Havana Expedition","1938-03-10","1938-03-10","","","Straits of Florida","10/3/1938-10/3/1938","field number=ATLAN2981D; group number=149"
"MCZ:Ich:45149","Ichthyology","45149","","","Pogonias cromis (Linnaeus, 1766)","Gloucester Point, York River","Michael J. F. Graae","1963-06-01","1963-06-30","United States","Virginia","Atlantic, Northwest","0/6/1963-0/6/1963","field number=MG1963:06; group number=567"
"MCZ:Ich:32960","Ichthyology","32960","","","Stichaeopsis nana Kner, 1870","Same, Rikuoku","David Starr Jordan, John Otterbein Snyder","1700-01-01","1903-03-31","Japan","","Pacific, Northwest","[no verbatim date data]","field number=J&S:SAME; group number=683; previous number=SU"
"MCZ:Ich:45483","Ichthyology","45483","","","Chromis atrilobatus Gill","Perlas Islands, E. side of Isla Bartonome","Sylvia A. Earle, and party","1967-04-05","1967-04-05","Panama","","Gulf of Panama","5/4/1967-5/4/1967","field number=PAN\MCZ-16; group number=603"
"MCZ:Ich:41283","Ichthyology","41283","","Voucher","Nessorhamphus ingolfianus (Schmidt, 1912)","Circle of 12 nautical miles in diameter centered on coordinates below.","Schooner Blue Dolphin","1953-07-17","1953-07-17","United States","","Atlantic, Northwest","17/7/1953-17/7/1953","field number=RHB0457; group number=93"
"MCZ:Ich:45602","Ichthyology","45602","","","Holacanthus passer Valenciennes, 1846","Islote Valladolid, near Isla Taboga, along steep rock slope","MCZ Panama Expedition of 1967","1967-04-06","1967-04-06","Panama","","Pacific, Eastern Central","6/4/1967-6/4/1967","field number=PAN\MCZ-19; group number=590"
"MCZ:Ich:45709","Ichthyology","45709","","","Ophioblennius steindachneri Jordan & Evermann 1898","Perlas Islands, E. side of Isla Bartonome","Sylvia A. Earle, and party","1967-04-05","1967-04-05","Panama","","Gulf of Panama","5/4/1967-5/4/1967","field number=PAN\MCZ-16; group number=668"
"MCZ:Ich:45797","Ichthyology","45797","","","Centropomus pectinatus Poey, 1860","Mouth of small freshwater stream at San Lorenzo, Fort Sherman, near Colon","MCZ Panama Expedition of 1967","1967-04-03","1967-04-03","Panama","","Caribbean Sea","3/4/1967-3/4/1967","field number=PAN\MCZ-6; group number=473"
"MCZ:Ich:42497","Ichthyology","42497","","","Gonostoma bathyphilum (Vaillant, 1884)","[coordinate data only]","RV Atlantis 187","1953-07-29","1953-07-29","Canada","","Atlantic, Northwest","29/7/1953-29/7/1953","field number=RHB0463; group number=147"
"MCZ:Ich:42608","Ichthyology","42608","","Figured","Rypticus nigripinnis Gill, 1861","Punta Paitilla","Ira Rubinoff","1961-03-28","1961-03-28","Panama","","Pacific, Eastern Central","28/3/1961-28/3/1961","field number=IR027; group number=483"
